Mini-Loihi V7.1C production lint
tool=C:\tool\oss-cad-suite\bin\verilator_bin.exe
fallback_used=True
v7_0 PASS diagnostics=110
  UNUSEDSIGNAL | unused or generated connectivity | allowed=True | %Warning-UNUSEDSIGNAL: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:94:31: Signal is not driven, nor used: 'synapse_delay_mem'
  UNUSEDSIGNAL | unused or generated connectivity | allowed=True | %Warning-UNUSEDSIGNAL: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:95:35: Signal is not driven, nor used: 'synapse_rule_mem'
  UNUSEDSIGNAL | unused or generated connectivity | allowed=True | %Warning-UNUSEDSIGNAL: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:96:34: Signal is not driven, nor used: 'synapse_tag_mem'
  UNUSEDSIGNAL | unused or generated connectivity | allowed=True | %Warning-UNUSEDSIGNAL: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:108:30: Signal is not used: 'ingress_head_priority'
  UNUSEDSIGNAL | unused or generated connectivity | allowed=True | %Warning-UNUSEDSIGNAL: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:165:33: Bits of signal are not used: 'issue_address_0'[12]
  UNUSEDSIGNAL | unused or generated connectivity | allowed=True | %Warning-UNUSEDSIGNAL: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:166:33: Bits of signal are not used: 'issue_address_1'[12]
  UNUSEDSIGNAL | unused or generated connectivity | allowed=True | %Warning-UNUSEDSIGNAL: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:181:15: Bits of signal are not used: 'neuron_issue_slot'[2]
  UNUSEDSIGNAL | unused or generated connectivity | allowed=True | %Warning-UNUSEDSIGNAL: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:189:15: Bits of signal are not used: 'neuron_writeback_slot'[2]
  UNUSEDSIGNAL | unused or generated connectivity | allowed=True | %Warning-UNUSEDSIGNAL: C:\Users\灵耀14air\Documents\info os\rtl\include\mini_loihi_arith_pkg.sv:77:49: Bits of function variable are not used: 'product'[16]
  UNUSEDSIGNAL | unused or generated connectivity | allowed=True | %Warning-UNUSEDSIGNAL: C:\Users\灵耀14air\Documents\info os\rtl\include\mini_loihi_arith_pkg.sv:50:25: Bits of function variable are not used: 'result'[32:16]
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:3:21: Parameter is not used: 'ARCHITECTURE_ID'
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:4:21: Parameter is not used: 'RTL_PROFILE_ID'
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:6:27: Parameter is not used: 'MAX_AXONS'
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:7:27: Parameter is not used: 'MAX_SYNAPSES'
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:9:27: Parameter is not used: 'AXON_COUNT'
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:10:27: Parameter is not used: 'SYNAPSE_COUNT'
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:14:27: Parameter is not used: 'TICK_COUNT'
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:15:27: Parameter is not used: 'EVENT_COUNT'
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:18:18: Parameter is not used: 'PAYLOAD_SIGNED'
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:23:27: Parameter is not used: 'THRESHOLD_WIDTH'
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:36:27: Parameter is not used: 'SYNAPSE_LANES'
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:37:27: Parameter is not used: 'ACCUMULATOR_WRITE_PORTS'
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:38:27: Parameter is not used: 'NEURON_LANES'
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:45:27: Parameter is not used: 'OVERFLOW_SATURATE'
  UNUSEDPARAM | unused or generated connectivity | allowed=True | %Warning-UNUSEDPARAM: <IMAGE>\mini_loihi_generated_pkg.sv:46:27: Parameter is not used: 'ROUNDING_TRUNCATE'
v7_1b1 PASS diagnostics=102
  PINCONNECTEMPTY | unused or generated connectivity | allowed=True | %Warning-PINCONNECTEMPTY: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core_mempipe.sv:221:6: Instance pin connected by name with empty reference: 'out_valid'
  PINMISSING | unused or generated connectivity | allowed=True | %Warning-PINMISSING: <IMAGE>\mini_loihi_image_top.sv:35:5: Instance has missing pin: 'reset_cycle_count'
  PINMISSING | unused or generated connectivity | allowed=True | %Warning-PINMISSING: <IMAGE>\mini_loihi_image_top.sv:35:5: Instance has missing pin: 'initialization_cycle_count'
  PINMISSING | unused or generated connectivity | allowed=True | %Warning-PINMISSING: <IMAGE>\mini_loihi_image_top.sv:35:5: Instance has missing pin: 'initialized_entry_count'
  PINMISSING | unused or generated connectivity | allowed=True | %Warning-PINMISSING: <IMAGE>\mini_loihi_image_top.sv:35:5: Instance has missing pin: 'first_ready_cycle'
  PINMISSING | unused or generated connectivity | allowed=True | %Warning-PINMISSING: <IMAGE>\mini_loihi_image_top.sv:35:5: Instance has missing pin: 'scanner_cycle_count'
  PINMISSING | unused or generated connectivity | allowed=True | %Warning-PINMISSING: <IMAGE>\mini_loihi_image_top.sv:35:5: Instance has missing pin: 'scanner_ids_inspected'
  PINMISSING | unused or generated connectivity | allowed=True | %Warning-PINMISSING: <IMAGE>\mini_loihi_image_top.sv:35:5: Instance has missing pin: 'scanner_touched_issued'
  PINMISSING | unused or generated connectivity | allowed=True | %Warning-PINMISSING: <IMAGE>\mini_loihi_image_top.sv:35:5: Instance has missing pin: 'scanner_untouched_skipped'
  PINMISSING | unused or generated connectivity | allowed=True | %Warning-PINMISSING: <IMAGE>\mini_loihi_image_top.sv:35:5: Instance has missing pin: 'synaptic_operation_count'
  PINMISSING | unused or generated connectivity | allowed=True | %Warning-PINMISSING: <IMAGE>\mini_loihi_image_top.sv:35:5: Instance has missing pin: 'neuron_update_count'
  PINMISSING | unused or generated connectivity | allowed=True | %Warning-PINMISSING: <IMAGE>\mini_loihi_image_top.sv:35:5: Instance has missing pin: 'accumulator_saturation_count'
